Name,NumberOfLinesAdded,NumberOfLinesRemoved,ChangedByNCommitsInCurrentVersion,ChangedByNCommitsInCurrentVersionAndPreviousVersions,BugsFixedInNCommits,AuthorsInCurrentVersion,AuthorsInCurrentAndPreviousVersions,AuthorsAvgExpertise,AuthorsMinExpertise,AvgCommitTimeForCurrentVersion,AvgCommitTimeForCurrentVersionAndPreviousVersions,ChangedComments,UnchangedComments
HiveCallableStatement.java,1,0,1,11,0,1,11,133,133,0,295,0,1
HiveQueryResultSet.java,0,4,2,33,0,2,33,241,133,115,74,2,1
HiveDataSource.java,0,0,1,12,0,1,12,133,133,0,268,0,1
HiveResultSetMetaData.java,1,0,1,31,0,1,31,133,133,0,98,0,1
HiveBaseResultSet.java,1,0,2,28,0,2,28,73,13,9,88,0,2
XsrfHttpRequestInterceptor.java,0,0,1,2,0,1,2,182,182,0,0,0,0
HiveConnection.java,112,0,10,97,0,10,97,96,1,32,31,4,4
Utils.java,3,0,11,83,0,11,83,175,1,26,30,0,2
HivePreparedStatement.java,9,0,3,33,0,3,33,53,1,144,92,0,1
HiveStatement.java,31,0,6,51,0,6,51,76,7,67,60,8,2
InPlaceUpdateStream.java,40,0,3,5,0,3,5,131,15,55,49,17,2
TestCliDriverMethods.java,0,28,1,9,0,1,9,550,550,0,250,0,1
TestRCFileCat.java,0,2,1,3,0,1,3,473,473,0,660,0,1
OptionsProcessor.java,0,0,1,17,0,1,17,173,173,0,188,0,1
RCFileCat.java,1,0,1,8,0,1,8,473,473,0,356,0,1
CliDriver.java,0,0,4,109,0,4,109,298,247,42,28,9,0
TestHiveAccumuloTypes.java,0,0,1,2,0,1,2,24,24,0,616,0,0
AccumuloStorageHandler.java,0,0,1,4,0,1,4,704,704,0,272,0,1
AccumuloSerDe.java,0,0,1,4,0,1,4,704,704,0,272,0,1
PushdownTuple.java,0,0,1,4,0,1,4,284,284,0,216,0,0
AccumuloPredicateHandler.java,0,0,1,6,0,1,6,284,284,0,130,0,0
TestSlotZnode.java,0,0,2,4,0,2,4,704,704,53,18,0,1
LlapInputSplit.java,0,0,2,14,0,2,14,704,704,1,8,0,0
SubmitWorkInfo.java,0,0,1,6,0,1,6,704,704,0,21,0,0
LlapRowRecordReader.java,0,0,2,6,0,2,6,480,256,132,42,0,1
LlapBaseRecordReader.java,0,0,2,8,0,2,8,480,256,15,11,0,0
