Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,CountPathMean,CountPathMax,MaxNestingMin,MaxNestingMean,MaxNestingMax,NumberOfLinesAdded,NumberOfLinesRemoved,ChangedByNCommitsInCurrentVersion,ChangedByNCommitsInCurrentVersionAndPreviousVersions,BugsFixedInNCommits,AuthorsInCurrentVersion,AuthorsInCurrentAndPreviousVersions,AuthorsAvgExpertise,AuthorsMinExpertise,AvgCommitTimeForCurrentVersion,AvgCommitTimeForCurrentVersionAndPreviousVersions,ChangedComments,UnchangedComments,Priority
File,BytesRefArrayWritable.java,12.0,0.0,7.0,5.0,2.0,2.0,2.0,1.0,1.6666666666666667,6.0,0.0,2.0,0.0,0.0,14.0,14.0,2.0,14.0,0.0,0.0,1.0,13.0,230.0,24.0,113.0,35.0,56.0,93.0,52.0,80.0,33.0,49.0,6.0,6.0,6.0,1.3333333333333333,12.666666666666666,0.82,27.0,27.0,28.0,18.0,0.0,5.5,19.0,1.0,2.0,4.0,1.0,2.142857142857143,10.0,0.0,0.6428571428571429,2.0,0,0,1,6,0,1,6,373,373,0,637,1,0,Trivial or Minor
File,BytesRefWritable.java,9.0,0.0,6.0,3.0,1.0,1.0,2.0,1.0,2.0,7.0,0.0,2.0,0.0,2.0,20.0,20.0,4.0,20.0,0.0,1.0,0.0,19.0,248.0,29.0,141.0,44.0,75.0,78.0,72.0,102.0,40.0,66.0,4.0,4.0,4.0,1.5,28.5,0.55,29.0,29.0,31.0,22.0,0.0,4.666666666666667,9.0,1.0,2.8,5.0,1.0,1.8,6.0,0.0,0.4,2.0,0,0,1,5,0,1,5,373,373,0,796,1,0,Trivial or Minor
File,CLIService.java,10.0,0.0,9.0,1.0,1.0,1.0,2.0,1.0,1.798342541436464,10.842541436464089,0.0331491712707182,1.0,0.0,2.0,45.0,45.0,6.0,45.0,0.0,3.0,0.0,42.0,627.0,59.0,442.0,226.0,219.0,126.0,198.0,258.0,129.0,173.0,7.0,7.0,9.0,1.5939226519337018,10.646408839779005,0.29,64.0,64.0,69.0,49.0,0.0,2.748965517241379,29.0,0.0,2.9908045977011493,45.0,0.0,1.9351724137931037,25.0,0.0,0.6101149425287357,4.0,15,0,5,54,0,5,54,160,15,28,33,1,1,Trivial or Minor
File,CLIServiceClient.java,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,1.25,23.75,0.5,1.0,0.0,0.0,6.0,6.0,1.0,6.0,0.0,0.0,0.0,6.0,63.0,12.0,30.0,22.0,5.0,21.0,13.0,17.0,14.0,3.0,1.0,1.0,1.0,1.5,38.875,0.7,3.0,3.0,3.0,3.0,0.0,5.065420560747664,24.0,0.0,4.224299065420561,18.0,0.0,1.7383177570093458,18.0,0.0,0.3738317757009345,3.0,0,0,1,8,0,1,8,373,373,0,253,1,0,Trivial or Minor
File,CLIServiceTest.java,27.0,3.0,21.0,4.0,2.0,2.0,3.0,1.0,1.2,16.8,0.6,4.0,0.0,2.0,24.0,24.0,0.0,24.0,0.0,10.0,0.0,14.0,731.0,90.0,524.0,184.0,375.0,123.0,340.0,392.0,151.0,283.0,8.0,4.0,9.0,1.4,22.6,0.23,52.0,48.0,62.0,29.0,0.0,5.2,14.0,0.0,5.771428571428571,18.0,1.0,2.771428571428572,25.0,0.0,0.7428571428571429,3.0,0,0,1,27,0,1,27,373,373,0,68,1,0,Trivial or Minor
File,CLIServiceUtils.java,38.0,1.0,29.0,8.0,8.0,8.0,8.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,69.0,7.0,33.0,7.0,23.0,29.0,16.0,25.0,8.0,20.0,8.0,8.0,8.0,1.0,0.0,0.88,8.0,8.0,8.0,5.0,4.0,4.0,4.0,6.0,6.0,6.0,8.0,8.0,8.0,4.0,4.0,4.0,0,0,1,4,0,1,4,373,373,0,591,1,0,Trivial or Minor
File,CacheChunk.java,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,6.666666666666667,0.6666666666666666,1.0,0.0,0.0,9.0,9.0,1.0,9.0,0.0,0.0,0.0,9.0,83.0,13.0,48.0,25.0,13.0,22.0,21.0,31.0,19.0,12.0,1.0,1.0,1.0,3.6666666666666665,39.66666666666666,0.46,9.0,9.0,9.0,9.0,1.0,3.0,14.0,0.0,1.9,5.0,0.0,0.95,1.0,0.0,0.0,0.0,0,8,1,6,0,1,6,224,224,0,157,0,0,None
File,CacheContentsTracker.java,8.0,0.0,8.0,0.0,2.0,2.0,2.0,1.0,2.0,5.666666666666667,0.0,3.0,0.0,2.0,20.0,20.0,11.0,20.0,0.0,7.0,0.0,13.0,220.0,28.0,172.0,63.0,91.0,22.0,85.0,126.0,53.0,83.0,6.0,6.0,6.0,1.0,55.66666666666666,0.13,38.0,38.0,38.0,29.0,1.0,3.333333333333333,9.0,1.0,3.1666666666666665,9.0,1.0,1.7777777777777777,7.0,0.0,0.7222222222222222,4.0,220,0,4,4,0,4,4,298,224,7,7,19,3,None
File,CacheFileMetadataRequest.java,10.0,0.0,9.0,1.0,3.0,2.0,3.0,2.0,2.2,10.0,0.0,6.0,3.0,10.0,51.0,50.0,11.0,53.0,1.0,2.0,0.0,50.0,703.0,92.0,582.0,141.0,351.0,41.0,272.0,408.0,124.0,309.0,14.0,14.0,30.0,1.4,15.0,0.07,144.0,129.0,164.0,81.0,0.0,3.74468085106383,11.0,1.0,3.106382978723404,16.0,1.0,7.829787234042553,120.0,0.0,0.574468085106383,3.0,0,0,2,4,0,2,4,146,76,83,225,0,0,None
File,CacheFileMetadataResult.java,7.0,0.0,6.0,1.0,2.0,2.0,2.0,1.0,2.2,9.8,0.0,6.0,3.0,6.0,36.0,35.0,5.0,38.0,1.0,2.0,0.0,35.0,387.0,64.0,297.0,104.0,144.0,29.0,139.0,207.0,91.0,124.0,5.0,5.0,7.0,1.4,14.2,0.1,61.0,61.0,63.0,48.0,0.0,2.53125,8.0,1.0,2.40625,9.0,1.0,1.875,7.0,0.0,0.5625,3.0,0,0,2,4,0,2,4,146,76,83,225,0,0,None
