key,priority,filename
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/SparkHashTableSinkOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/StatsNoJobTask.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/TableScanOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/Task.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/TemporaryHashSinkOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/TerminalOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/TezDummyStoreOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/UDTFOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/UnionOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/mr/ExecDriver.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/mr/ExecMapper.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/mr/HashTableLoader.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/mr/MapredLocalTask.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/spark/HashTableLoader.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/spark/SparkMapRecordHandler.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/spark/SparkTask.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/tez/MapRecordProcessor.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorAppMasterEventOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorFileSinkOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorFilterOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorGroupByOperator.java
